project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_baseline_conf,cheapest_github_baseline_runtime,cheapest_github_baseline_price,cheapest_github_baseline_max_failure_rate,cheapest_github_baseline_runtime_rate,cheapest_github_baseline_price_rate,cheapest_smart_baseline_conf,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_rate,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_baseline_conf,fastest_github_baseline_runtime,fastest_github_baseline_price,fastest_github_baseline_max_failure_rate,fastest_github_baseline_runtime_rate,fastest_github_baseline_price_rate,fastest_smart_baseline_conf,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_rate
activiti_dot,12-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 2, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 3, '27CPU2Mem8GB.sh': 1}",198.9655271337236,1.013163381875481,0.2166666666666666,27CPU2Mem8GB.sh,20.57019076576574,2.396827893994168,0.1899999999999999,9.6725173528704,0.42271010964709105,22CPU05Mem2GB.sh,47.773224137931045,1.3915960361097313,0.1999999999999999,4.164791695014545,0.7280585425550826,12-0.8,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 10, '26CPU2Mem4GB.sh': 1}",19.559413333333342,4.281256060151814,0.3,27CPU2Mem8GB.sh,20.57019076576574,2.396827893994168,0.1899999999999999,0.9508620292372495,1.7862175548271684,01noThrottling.sh,19.65897190476192,4.581320317151816,0.3,0.9949357183116752,0.9345026681769875
assertj-core_dot,12-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",1.9353275862068973,0.023895567306112,0.096551724137931,27CPU2Mem8GB.sh,0.6639620689655179,0.0346710432336593,0.0758620689655172,2.9148164882705165,0.6892082001995756,26CPU2Mem4GB.sh,0.6623655172413796,0.0302578042624521,0.0999999999999999,2.9218422998032128,0.7897323645445348,10-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",0.5596916666666665,0.045467578408046,0.0999999999999999,27CPU2Mem8GB.sh,0.6639620689655179,0.0346710432336593,0.0758620689655172,0.8429572905251812,1.3113992013919333,29CPU4Mem8GB.sh,0.5596916666666665,0.0497025422142853,0.125,1.0,0.9147938190368439
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,2-0.8,{'19CPU010Mem1GB.sh': 2},25.744110000000017,0.0255960615402104,0.01,27CPU2Mem8GB.sh,13.025449999999994,0.2236932834666666,0.0,1.976446878994586,0.11442481036326944,19CPU010Mem1GB.sh,25.744110000000017,0.0255960615402104,0.01,1.0,1.0,12-0.8,"{'20CPU010Mem2GB.sh': 2, '21CPU025Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 2, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 3}",12.952333333333344,0.2243692113849871,0.0033333333333332,27CPU2Mem8GB.sh,13.025449999999994,0.2236932834666666,0.0,0.9943866302763705,1.0030216728363293,29CPU4Mem8GB.sh,12.952333333333344,0.3779513767333334,0.0,1.0,0.593645704704742
commons-exec_dot,8-0.8,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 2, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",26.14501379725087,0.0236583023816709,0.03,27CPU2Mem8GB.sh,10.013006666666666,0.261282004019477,0.0016666666666667,2.6111052022253927,0.09054700292296945,19CPU010Mem1GB.sh,12.129579999999995,0.0276146831366709,0.03,2.1554756056888102,0.8567290909905054,4-0.8,"{'27CPU2Mem8GB.sh': 1, '20CPU010Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",10.013006666666666,0.1381210276644248,0.01,27CPU2Mem8GB.sh,10.013006666666666,0.261282004019477,0.0016666666666667,1.0,0.5286281700982695,27CPU2Mem8GB.sh,10.013006666666666,0.261282004019477,0.0016666666666667,1.0,0.5286281700982695
db-scheduler_dot,6-0.8,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 1}",11.774070348258707,0.0134467660291088,0.2666666666666667,27CPU2Mem8GB.sh,10.199820945945948,0.1087934265808854,0.0133333333333333,1.1543408860464814,0.12359906707333498,19CPU010Mem1GB.sh,11.217597014925378,0.020120673945064,0.2666666666666667,1.0496071781320833,0.6683059457065332,6-0.8,"{'19CPU010Mem1GB.sh': 1, '24CPU1Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",10.19937248322148,0.175895297891858,0.0066666666666667,27CPU2Mem8GB.sh,10.199820945945948,0.1087934265808854,0.0133333333333333,0.9999560322944054,1.6167824051491193,29CPU4Mem8GB.sh,10.19937248322148,0.1836862984867263,0.0066666666666667,1.0,0.9575852926480998
delight-nashorn-sandbox_dot,6-0.8,"{'22CPU05Mem2GB.sh': 2, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 3}",11.469096666666662,0.1257607731394615,0.0066666666666667,27CPU2Mem8GB.sh,4.2287866666666645,0.1550071969465997,0.0033333333333332,2.7121483230808523,0.8113221554660223,26CPU2Mem4GB.sh,4.192740000000002,0.1260731709045861,0.0066666666666667,2.735465749525765,0.9975220916323184,6-0.8,"{'27CPU2Mem8GB.sh': 2, '20CPU010Mem2GB.sh': 1, '29CPU4Mem8GB.sh': 2, '24CPU1Mem4GB.sh': 1}",4.118576666666666,0.1927048511060442,0.0033333333333332,27CPU2Mem8GB.sh,4.2287866666666645,0.1550071969465997,0.0033333333333332,0.9739381508959232,1.2431993797838394,29CPU4Mem8GB.sh,4.118576666666666,0.2419303343555555,0.0,1.0,0.7965303384520334
elastic-job-lite_dot,12-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",13.892137931034492,0.0599688582580459,0.0,27CPU2Mem8GB.sh,10.022427586206884,0.2165998650689654,0.0,1.3861050939548019,0.27686470736697744,22CPU05Mem2GB.sh,10.019424137931026,0.088090794137931,0.0,1.3865205963726341,0.6807619212076546,12-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 2, '22CPU05Mem2GB.sh': 2, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 2, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",9.769137931034493,0.0764998459080459,0.0,27CPU2Mem8GB.sh,10.022427586206884,0.2165998650689654,0.0,0.9747277141197832,0.3531851041721026,23CPU05Mem4GB.sh,10.018844827586204,0.1132342340057471,0.0,0.9750762786679598,0.6755893796584805
elastic-job-lite_elastic-job-lite-core,10-0.8,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '28CPU2Mem16GB.sh': 1}",12.715788729096996,0.0381941467091294,0.0033333333333332,27CPU2Mem8GB.sh,10.019736666666658,0.1519979448666665,0.0,1.2690741435749981,0.25128067845018254,22CPU05Mem2GB.sh,10.019239999999986,0.0625280952333333,0.0,1.2691370532193074,0.6108317639710918,4-0.8,"{'19CPU010Mem1GB.sh': 1, '27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 1, '24CPU1Mem4GB.sh': 1}",9.772586666666667,0.04813888053,0.0,27CPU2Mem8GB.sh,10.019736666666658,0.1519979448666665,0.0,0.9753336830874806,0.3167074434606843,22CPU05Mem2GB.sh,10.019239999999986,0.0625280952333333,0.0,0.975382031637797,0.7698760109413582
esper_examples.rfidassetzone,2-0.8,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",13.725810000000005,0.0224918917274999,0.0,27CPU2Mem8GB.sh,5.493362989323841,0.0684017679930011,0.0633333333333333,2.498616972276479,0.3288203271266509,22CPU05Mem2GB.sh,6.5230134228187975,0.0290156973338926,0.0066666666666667,2.1042130546572837,0.7751628874770352,4-0.8,"{'01noThrottling.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1}",5.457029304029308,0.1191565913342491,0.0899999999999999,27CPU2Mem8GB.sh,5.493362989323841,0.0684017679930011,0.0633333333333333,0.9933858939660193,1.742010401638175,01noThrottling.sh,5.457029304029308,0.1335066604842491,0.0899999999999999,1.0,0.8925142079207876
fastjson_dot,12-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",22.458953333333348,0.1529656474771029,0.0,27CPU2Mem8GB.sh,3.743973244147158,0.2820072386142719,0.0,5.998694934169938,0.5424174508028446,22CPU05Mem2GB.sh,9.181523333333333,0.1808411267827419,0.01,2.4461031702437195,0.8458565272094997,10-0.8,"{'22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",3.6776,0.3023606647696942,0.01,27CPU2Mem8GB.sh,3.743973244147158,0.2820072386142719,0.0,0.9822719769029019,1.0721734174464281,29CPU4Mem8GB.sh,3.7035217391304336,0.4459200860637681,0.0,0.9930007865603835,0.678060204550767
fluent-logger-java_dot,8-0.8,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 3, '23CPU05Mem4GB.sh': 1, '28CPU2Mem16GB.sh': 1}",51.117879265536736,0.0582421200304614,0.41,27CPU2Mem8GB.sh,8.126056666666663,0.3455086319666666,0.0,6.290613191909412,0.16856921836928343,19CPU010Mem1GB.sh,30.970774193548376,0.0633786091715008,0.41,1.6505199045423047,0.918955477120992,12-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 2, '29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 2}",8.125366666666668,0.2649074422177778,0.0,27CPU2Mem8GB.sh,8.126056666666663,0.3455086319666666,0.0,0.9999150879659964,0.7667172907081959,29CPU4Mem8GB.sh,8.125366666666668,0.5818410838333337,0.0,1.0,0.4552917447363679
handlebars.java_dot,12-0.8,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",1.266425862068965,0.0163151501601395,0.0344827586206896,27CPU2Mem8GB.sh,1.003804878048776,0.0288285853486122,0.0103448275862069,1.2616255307811204,0.5659365509214939,22CPU05Mem2GB.sh,1.3358620689655163,0.0220658608226345,0.0034482758620689,0.9480214248838413,0.7393842592990484,8-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2}",0.9806142857142846,0.0202877943193349,0.0344827586206896,27CPU2Mem8GB.sh,1.003804878048776,0.0288285853486122,0.0103448275862069,0.9768973105813452,0.7037388090328737,24CPU1Mem4GB.sh,1.001152777777774,0.0237399590033524,0.0068965517241379,0.9794851569916451,0.8545842188046741
hbase_dot,12-0.8,"{'19CPU010Mem1GB.sh': 2, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",3144.12816674564,3.431233700172307,0.7391304347826086,27CPU2Mem8GB.sh,351.24025827735375,38.88216150138342,0.4754716981132075,8.951502832180779,0.08824698956230158,19CPU010Mem1GB.sh,467.9749954888713,3.7899925778248695,0.7391304347826086,6.718581541864472,0.9053404801498426,12-0.8,"{'19CPU010Mem1GB.sh': 2, '20CPU010Mem2GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '25CPU1Mem8GB.sh': 2, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 3}",256.31433205632925,20.3351631672846,0.7110266159695817,27CPU2Mem8GB.sh,351.24025827735375,38.88216150138342,0.4754716981132075,0.7297407572623208,0.5229946685592846,28CPU2Mem16GB.sh,324.0813597472346,48.95853913438423,0.6136363636363636,0.7908950155486886,0.41535477828428385
http-request_dot,10-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",0.2801366666666662,0.002921315605042,0.01,27CPU2Mem8GB.sh,0.08151,0.003839334,0.0,3.4368380157853786,0.7608912392206565,26CPU2Mem4GB.sh,0.0744766666666667,0.0031965977888888,0.0,3.7614017813185257,0.9138827584741296,10-0.8,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 1}",0.0690866666666666,0.0044815320500148,0.0033333333333332,27CPU2Mem8GB.sh,0.08151,0.003839334,0.0,0.8475851633746363,1.1672680860833677,28CPU2Mem16GB.sh,0.0690866666666666,0.0049536257999999,0.0,1.0,0.9046973330151201
