project,machines_num,conf,time_seq,time_parallel,price,min_failure_rate,max_failure_rate,probability_failure_rate,fitness
spring-boot_dot,1,19CPU010Mem1GB.sh,1318.8170862069,1318.8170862069,0.9333927927629334,0.0,0.0,0.0,0.9465935107042254
spring-boot_dot,1,20CPU010Mem2GB.sh,1283.5941932216103,1283.5941932216103,1.383928472658433,0.0,0.0034482758620689724,0.0034482758620689724,1.063951348879095
spring-boot_dot,1,21CPU025Mem2GB.sh,482.0084241379315,482.0084241379315,0.7635816785718398,0.0,0.0,0.0,0.4726981971160567
spring-boot_dot,1,22CPU05Mem2GB.sh,233.42159537059624,233.42159537059624,0.5666309227621223,0.0,0.0033333333333332993,0.0033333333333332993,0.28796860741594293
spring-boot_dot,1,23CPU05Mem4GB.sh,233.04264330120333,233.04264330120333,0.7383567748593125,0.0,0.00666666666666671,0.00666666666666671,0.3392948275901192
spring-boot_dot,1,24CPU1Mem4GB.sh,124.36937001876818,124.36937001876818,0.6038132914411196,0.0,0.00666666666666671,0.00666666666666671,0.24400455951043937
spring-boot_dot,1,25CPU1Mem8GB.sh,123.56106812090106,123.56106812090106,0.7829653016594431,0.0,0.0033333333333332993,0.0033333333333332993,0.2973416188991125
spring-boot_dot,1,26CPU2Mem4GB.sh,73.47427551869306,73.47427551869306,0.6045708303929794,0.0,0.0033333333333332993,0.0033333333333332993,0.21850768384802277
spring-boot_dot,1,27CPU2Mem8GB.sh,73.68835666666648,73.68835666666648,0.7155139432333316,0.0,0.0,0.0,0.25189882170108713
spring-boot_dot,1,28CPU2Mem16GB.sh,73.41568666666659,73.41568666666659,0.9304214690222213,0.0,0.0,0.0,0.31623326260885204
spring-boot_dot,1,29CPU4Mem8GB.sh,69.45108097593199,69.45108097593199,1.1429332892605875,0.0,0.00666666666666671,0.00666666666666671,0.3779829601303043
spring-boot_dot,1,01noThrottling.sh,71.26830666666699,71.26830666666699,1.384030515466673,0.0,0.0,0.0,0.45123061657575303
spring-boot_dot,2,19CPU010Mem1GB.sh,1318.8170862068955,659.4102896551724,0.9333927927629302,0.0,0.0,0.0,0.6133065570340726
spring-boot_dot,2,20CPU010Mem2GB.sh,1283.5941932216115,641.7976656354042,1.3839284726584342,0.0,0.0034482758620689724,0.0034482758620689724,0.7395652329429845
spring-boot_dot,2,21CPU025Mem2GB.sh,482.0084241379312,241.00431379310345,0.7635816785718392,0.0,0.0,0.0,0.35088640175869423
spring-boot_dot,2,22CPU05Mem2GB.sh,233.42159537059632,116.71091333333334,0.5666309227621227,0.0,0.0033333333333332993,0.0033333333333332993,0.2289790005747984
spring-boot_dot,2,23CPU05Mem4GB.sh,233.04264330120262,116.52145333333335,0.7383567748593103,0.0,0.00666666666666671,0.00666666666666671,0.2804009965809533
spring-boot_dot,2,24CPU1Mem4GB.sh,124.36937001876788,62.18478668543454,0.6038132914411182,0.0,0.00666666666666671,0.00666666666666671,0.21257432486197234
spring-boot_dot,2,25CPU1Mem8GB.sh,123.56106812090101,61.78057812090094,0.7829653016594428,0.0,0.0033333333333332993,0.0033333333333332993,0.26611562696814495
spring-boot_dot,2,26CPU2Mem4GB.sh,73.47427551869282,36.73713999999987,0.6045708303929773,0.0,0.0033333333333332993,0.0033333333333332993,0.19993946761546122
spring-boot_dot,2,27CPU2Mem8GB.sh,73.68835666666675,36.84419000000005,0.7155139432333342,0.0,0.0,0.0,0.23327650823228016
spring-boot_dot,2,28CPU2Mem16GB.sh,73.41568666666663,36.707843333333315,0.9304214690222218,0.0,0.0,0.0,0.2976798516577594
spring-boot_dot,2,29CPU4Mem8GB.sh,69.45108097593197,34.725540975931956,1.1429332892605872,0.0,0.00666666666666671,0.00666666666666671,0.3604314737008751
spring-boot_dot,2,01noThrottling.sh,71.2683066666666,35.63415333333332,1.3840305154666654,0.0,0.0,0.0,0.43321988560787517
spring-boot_dot,4,19CPU010Mem1GB.sh,1318.817086206896,329.7115275862067,0.9333927927629306,0.0,0.0,0.0,0.44666542349797655
spring-boot_dot,4,20CPU010Mem2GB.sh,1283.59419322161,320.90212068965525,1.3839284726584329,0.0,0.0034482758620689724,0.0034482758620689724,0.5773735491742193
spring-boot_dot,4,21CPU025Mem2GB.sh,482.0084241379311,120.5023275862069,0.7635816785718392,0.0,0.0,0.0,0.2899805389375659
spring-boot_dot,4,22CPU05Mem2GB.sh,233.4215953705962,58.35553999999997,0.5666309227621225,0.0,0.0033333333333332993,0.0033333333333332993,0.19948418082126035
spring-boot_dot,4,23CPU05Mem4GB.sh,233.04264330120262,58.26073999999996,0.7383567748593104,0.0,0.00666666666666671,0.00666666666666671,0.2509540212585001
spring-boot_dot,4,24CPU1Mem4GB.sh,124.36937001876788,31.092686685434547,0.6038132914411181,0.0,0.00666666666666671,0.00666666666666671,0.1968593044126876
spring-boot_dot,4,25CPU1Mem8GB.sh,123.56106812090087,30.8903933333333,0.782965301659442,0.0,0.0033333333333332993,0.0033333333333332993,0.25050266143610256
