project_fr,cheapest_non_ig_category,cheapest_non_ig_confs,cheapest_ig_category,cheapest_ig_confs,fastest_non_ig_category,fastest_non_ig_confs,fastest_ig_category,fastest_ig_confs
fastjson_dot_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},12-0.2,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",8-0.2,"{'29CPU4Mem8GB.sh': 5, '01noThrottling.sh': 3}",10-0.2,"{'20CPU010Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '01noThrottling.sh': 3}"
commons-exec_dot_0.2,1-0.2,{'19CPU010Mem1GB.sh': 1},8-0.2,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",4-0.2,{'01noThrottling.sh': 4},4-0.2,"{'27CPU2Mem8GB.sh': 1, '20CPU010Mem2GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}"
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty_0.2,1-0.2,{'19CPU010Mem1GB.sh': 1},6-0.2,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2}",6-0.2,{'29CPU4Mem8GB.sh': 6},6-0.2,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 2, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}"
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo_0.2,1-0.2,{'19CPU010Mem1GB.sh': 1},12-0.2,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 5, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1}",6-0.2,{'01noThrottling.sh': 6},10-0.2,{'21CPU025Mem2GB.sh': 10}
rxjava2-extras_dot_0.2,2-0.2,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",12-0.2,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",6-0.2,"{'24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 1}",10-0.2,"{'22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}"
hutool_hutool-cron_0.2,1-0.2,{'26CPU2Mem4GB.sh': 1},2-0.2,{'26CPU2Mem4GB.sh': 2},2-0.2,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",10-0.2,"{'20CPU010Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '27CPU2Mem8GB.sh': 4, '01noThrottling.sh': 1}"
elastic-job-lite_dot_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},12-0.2,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 2}",4-0.2,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",10-0.2,"{'19CPU010Mem1GB.sh': 2, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}"
elastic-job-lite_elastic-job-lite-core_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},10-0.2,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",2-0.2,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 1}",2-0.2,"{'19CPU010Mem1GB.sh': 1, '25CPU1Mem8GB.sh': 1}"
luwak_luwak_0.2,1-0.2,{'22CPU05Mem2GB.sh': 1},12-0.2,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}",8-0.2,"{'24CPU1Mem4GB.sh': 2, '26CPU2Mem4GB.sh': 3, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",8-0.2,"{'20CPU010Mem2GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '29CPU4Mem8GB.sh': 1}"
fluent-logger-java_dot_0.2,2-0.2,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",8-0.2,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 3, '22CPU05Mem2GB.sh': 2, '26CPU2Mem4GB.sh': 1}",6-0.2,"{'21CPU025Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 2, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1}",8-0.2,"{'21CPU025Mem2GB.sh': 2, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 2}"
