project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_max_failure_rate,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_saving,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_saving,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_max_failure_rate,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_saving,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_saving
activiti_dot,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1}",203.69,0.30,0.20,{'27CPU2Mem8GB.sh': 10},29.41,0.72,0.19,6.93,0.58,{'23CPU05Mem4GB.sh': 10},60.05,0.53,0.18,3.39,0.43,12-0.2-fast,"{'27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 11}",24.94,1.32,0.19,{'27CPU2Mem8GB.sh': 12},25.74,0.72,0.19,0.03,1.84,{'23CPU05Mem4GB.sh': 12},51.40,0.53,0.18,0.51,2.51
assertj-core_dot,12-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",2.19,0.01,0.12,{'27CPU2Mem8GB.sh': 12},0.77,0.01,0.08,2.85,0.48,{'27CPU2Mem8GB.sh': 12},0.77,0.01,0.08,2.85,0.48,12-0.2-fast,"{'26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 3}",0.64,0.01,0.10,{'27CPU2Mem8GB.sh': 12},0.77,0.01,0.08,0.17,0.82,{'27CPU2Mem8GB.sh': 12},0.77,0.01,0.08,0.17,0.82
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,2-0.2-cheap,{'19CPU010Mem1GB.sh': 2},25.74,0.01,0.01,{'27CPU2Mem8GB.sh': 2},13.03,0.07,0.00,1.98,0.89,{'01noThrottling.sh': 2},12.96,0.13,0.00,1.99,0.94,2-0.2-fast,{'29CPU4Mem8GB.sh': 2},12.95,0.11,0.00,{'27CPU2Mem8GB.sh': 2},13.03,0.07,0.00,0.01,1.69,{'01noThrottling.sh': 2},12.96,0.13,0.00,0.00,0.85
commons-exec_dot,8-0.2-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",14.03,0.01,0.03,{'27CPU2Mem8GB.sh': 8},10.02,0.16,0.00,1.40,0.91,{'01noThrottling.sh': 8},10.02,0.31,0.00,1.40,0.95,12-0.2-fast,"{'22CPU05Mem2GB.sh': 1, '25CPU1Mem8GB.sh': 1, '27CPU2Mem8GB.sh': 7, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 1}",10.01,0.16,0.00,{'27CPU2Mem8GB.sh': 12},10.01,0.16,0.00,0.00,1.00,{'01noThrottling.sh': 12},10.02,0.31,0.00,0.00,0.50
db-scheduler_dot,12-0.2-cheap,"{'19CPU010Mem1GB.sh': 2, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 3, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}",11.22,0.00,0.15,{'27CPU2Mem8GB.sh': 12},10.20,0.03,0.01,1.10,0.88,{'28CPU2Mem16GB.sh': 12},10.22,0.04,0.00,1.10,0.91,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},10.20,0.05,0.01,{'27CPU2Mem8GB.sh': 6},10.20,0.03,0.01,0.00,1.70,{'28CPU2Mem16GB.sh': 6},10.22,0.04,0.00,0.00,1.29
delight-nashorn-sandbox_dot,4-0.2-cheap,"{'22CPU05Mem2GB.sh': 2, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",14.91,0.04,0.05,{'27CPU2Mem8GB.sh': 4},6.91,0.05,0.00,2.16,0.19,{'29CPU4Mem8GB.sh': 4},6.53,0.07,0.00,2.28,0.48,12-0.2-fast,"{'29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 1, '26CPU2Mem4GB.sh': 5}",4.79,0.06,0.00,{'27CPU2Mem8GB.sh': 12},4.99,0.05,0.00,0.04,1.34,{'29CPU4Mem8GB.sh': 12},4.81,0.07,0.00,0.00,0.86
elastic-job-lite_dot,12-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",13.89,0.02,0.00,{'27CPU2Mem8GB.sh': 12},10.31,0.06,0.00,1.35,0.72,{'19CPU010Mem1GB.sh': 12},33.14,0.03,0.00,0.42,0.44,12-0.2-fast,"{'19CPU010Mem1GB.sh': 1, '25CPU1Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",10.02,0.05,0.00,{'27CPU2Mem8GB.sh': 12},10.31,0.06,0.00,0.03,0.75,{'19CPU010Mem1GB.sh': 12},33.14,0.03,0.00,0.70,1.53
elastic-job-lite_elastic-job-lite-core,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",12.72,0.01,0.00,{'27CPU2Mem8GB.sh': 10},10.38,0.05,0.00,1.22,0.75,{'01noThrottling.sh': 10},10.38,0.09,0.00,1.23,0.87,12-0.2-fast,"{'19CPU010Mem1GB.sh': 1, '25CPU1Mem8GB.sh': 1, '27CPU2Mem8GB.sh': 3, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 3}",10.01,0.03,0.00,{'27CPU2Mem8GB.sh': 12},10.31,0.05,0.00,0.03,0.55,{'01noThrottling.sh': 12},10.31,0.09,0.00,0.03,0.28
esper_examples.rfidassetzone,2-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",13.73,0.01,0.00,{'27CPU2Mem8GB.sh': 2},5.49,0.02,0.06,2.50,0.65,{'19CPU010Mem1GB.sh': 2},30.47,0.01,0.00,0.45,0.28,2-0.2-fast,{'01noThrottling.sh': 2},5.46,0.04,0.09,{'27CPU2Mem8GB.sh': 2},5.49,0.02,0.06,0.01,1.91,{'19CPU010Mem1GB.sh': 2},30.47,0.01,0.00,0.82,3.96
fastjson_dot,12-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",22.46,0.05,0.00,{'27CPU2Mem8GB.sh': 12},4.47,0.08,0.00,5.03,0.46,{'01noThrottling.sh': 12},4.80,0.16,0.00,4.68,0.72,12-0.2-fast,"{'29CPU4Mem8GB.sh': 5, '01noThrottling.sh': 4, '26CPU2Mem4GB.sh': 3}",4.32,0.13,0.00,{'27CPU2Mem8GB.sh': 12},4.47,0.08,0.00,0.03,1.51,{'01noThrottling.sh': 12},4.80,0.16,0.00,0.10,0.79
